neutral_mass	formula	name
1240.847031	C65H124O17P2	"Cardiolipin (tetratetradecanoyl, n-C14:0)"
1913.8001	C77H119N15O41	"Two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)"
105.042594	C3H7NO3	L-Serine
1232.784431	C65H116O17P2	"Cardiolipin (tetratetradec-7-enoyl, n-C14:1)"
624.569275	C39H76O5	"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
425.254242	C19H40NO7P1	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
324.035871	C9H11N2O9P	UMP C9H11N2O9P
134.05791	C5H10O4	5'-deoxyribose
397.222942	C17H36NO7P1	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
521.081183	C14H23N3O14P2	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
510.295773	C24H46O9P1	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
839.099964	C23H31N7O19P3S	Oxalyl-CoA
146.032758	C4H6N2O4	Ureidoacrylate peracid
179.08071	C7H10N5O	7-aminomethyl-7-deazaguanine
899.89366	C20H20N10O13P2S4Mo	Bis-molybdenum cofactor
334.190913	C16H30O5P	Hexadecanoyl-phosphate (n-C16:1)
135.054495	C5H5N5	Adenine
1244.941098	C30H32N15O20P3S4Mo	Bis-molybdopterin mono-guanine dinucleotide
164.068475	C6H12O5	L-Rhamnose
185.992943	C3H4O7P	3-Phospho-D-glycerate
312.10565	C11H20O10	Isoprimeverose
194.042655	C6H9O7	2-Dehydro-L-gulonate
244.069538	C9H12N2O6	Pseudouridine
482.984521	C9H12N3O14P3	CTP C9H12N3O14P3
411.034506	C10H12N5O9P2	DADP C10H12N5O9P2
152.033426	C5H4N4O2	Xanthine
230.019158	C5H9O8P	D-Xylulose 5-phosphate
117.042594	C4H7NO3	L-Aspartate 4-semialdehyde
117.078979	C5H11NO2	Glycine betaine
284.075686	C10H12N4O6	Xanthosine
601.047516	C14H22N3O17P3	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
210.03757	C6H8O8	D-Glucarate
379.104939	C13H20N3O8S	(R)-S-Lactoylglutathione
158.043991	C4H6N4O3	Allantoin
260.029723	C6H11O9P	D-Fructose 6-phosphate
259.045707	C6H13NO8P	D-Glucosamine 1-phosphate
112.027278	C4H4N2O2	Uracil
787.172792	C27H33N9O15P2	Flavin adenine dinucleotide reduced
335.063088	C9H12N5O7P	Dihydroneopterin monophosphate
102.115698	C5H16N2	"1,5-Diaminopentane"
257.909564	HO10P3	Inorganic triphosphate
146.105528	C6H15N2O2	L-Lysine
230.019158	C5H9O8P	L-Xylulose 5-phosphate
255.998423	C6H7O9P	L-ascorbate-6-phosphate
373.077402	C11H17NO11P	N-acetylmuramate 6-phosphate
284.27153	C18H35O2	Octadecanoate (n-C18:0)
76.016045	C2H3O3	Glycolate C2H3O3
154.003113	C3H5O5P	Propanoyl phosphate
212.03209	C9H6O6	2-hydroxy-6-ketononatrienedioate
868.038107	C20H24N10O21P4	"P1,P4-Bis(5'-guanosyl) tetraphosphate"
309.105984	C11H18NO9	N-Acetylneuraminate
342.116215	C12H22O11	Sucrose C12H22O11
363.058003	C10H12N5O8P	GMP C10H12N5O8P
885.157084	C29H38N7O17P3S	Phenylacetyl-CoA
88.05243	C4H7O2	Butyrate (n-C4:0)
219.110674	C9H16NO5	(R)-Pantothenate
125.998682	C2H5O4S	Isethionic acid
347.063088	C10H12N5O7P	AMP C10H12N5O7P
2081.184594	C100H176N2O38P2	KDO(2)-lipid IV(A) with palmitoleoyl
494.995754	C9H12N5O13P3	Dihydromonapterin-triphosphate
1329.572161	C62H88CoN13O14P	Cob(I)alamin
180.06339	C6H12O6	Beta D-Galactose
244.069538	C9H12N2O6	Uridine
461.21218	C18H30N5O9	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"
2429.399399	C117H208N2O45P2	Heptosyl-kdo2-lipidA
1031.360534	C39H64N7O17P3S	Octadecenoyl-CoA (n-C18:1CoA)
715.515207	C39H74N1O8P1	"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
178.041215	C5H10N2O3S	Cys Gly C5H10N2O3S
2701.429122	C124H219N2O54P3	Phospho-heptosyl-heptosyl-kdo2-lipidA
180.045632	C6H12O4S	5-Methylthio-D-ribose
479.301192	C23H46NO7P1	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
244.025292	C6H11O8S	6-deoxy-6-sulphofructose
164.068475	C6H12O5	L-Fucose
104.047345	C4H7O3	Gamma-hydroxybutyrate
87.068414	C4H10NO	4-Aminobutanal
809.125784	C23H34N7O17P3S	Acetyl-CoA
174.111676	C6H15N4O2	L-Arginine
190.095358	C7H14N2O4	"LL-2,6-Diaminoheptanedioate"
59.073499	C3H10N	Trimethylamine
132.04226	C5H8O4	"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
893.219684	C29H46N7O17P3S	Octanoyl-CoA (n-C8:0CoA)
522.990669	C10H12N5O14P3	GTP C10H12N5O14P3
138.031695	C7H6O3	3-Hydroxybenzoate
260.029723	C6H11O9P	D-Mannose 6-phosphate
342.116215	C12H22O11	Cellobiose
308.006226	C6H11O10P2	?-D-ribose-1-methylphosphonate 5-phosphate
679.102708	C20H28N3O19P2	UDP-N-acetylmuramate
687.318771	C27H42N9O12	Ferrichrome minus Fe(III)
133.037509	C4H6NO4	L-Aspartate
2291.382959	C114H202N2O39P2	Cold adapted KDO(2)-lipid (A)
182.07904	C6H14O6	D-Sorbitol
173.068809	C7H10NO4	N-Acetyl-L-glutamate 5-semialdehyde
1700.688758	C68H104N12O38	"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)"
267.096755	C10H13N5O4	Deoxyguanosine
145.157897	C7H22N3	Spermidine
718.478488	C38H70O10P1	"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)"
174.052825	C7H9O5	Shikimate
579.390007	C29H58N1O8P1	"Phosphatidylethanolamine (didodecanoyl, n-C12:0)"
231.074289	C9H11NO6	N2-Succinyl-L-glutamate 5-semialdehyde
348.047104	C10H11N4O8P	IMP C10H11N4O8P
150.01644	C4H4O6	L-tartrate
58.041865	C3H6O	Propanal
4259.816083	C176H303N2O103P5	Core oligosaccharide lipid A diphosphate
156.009247	C3H7O5S	"2,3-Dihydroxypropane-1-sulfonate"
853.151999	C25H38N7O18P3S	(S)-3-Hydroxybutanoyl-CoA
118.02661	C4H4O4	Succinate
180.06339	C6H12O6	D-Galactose
152.047345	C8H7O3	"2-hydroxycyclohepta-1,4,6-triene-1-carboxylate"
164.047345	C9H7O3	Phenylpyruvate
370.006621	C7H12O13P2	"Sedoheptulose 1,7-bisphosphate"
219.040895	C6H8N3O4P	4-Amino-2-methyl-5-phosphomethylpyrimidine
666.221865	C24H42O21	Maltotetraose
149.05105	C5H11NO2S	D-Methionine
232.105923	C9H15N2O5	N2-Succinyl-L-ornithine
322.056606	C10H13N2O8P	DTMP C10H13N2O8P
180.04226	C9H7O4	"2,3-dihydroxicinnamic acid"
221.089939	C8H15NO6	N-Acetyl-D-galactosamine
547.096833	C16H26N3O14P2	"DTDP-4-amino-4,6-dideoxy-D-galactose"
1533.854303	C79H126N3O22P2	"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"
504.16904	C18H32O16	Maltotriose C18H32O16
121.019751	C3H7NO2S	D-Cysteine
136.05243	C8H7O2	Phenylacetic acid
802.476121	C38H73O13P2	"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)"
61.016379	CH2NO2	Carbamate
459.186633	C20H24N7O6	5-Methyltetrahydrofolate
166.062995	C9H9O3	3-(3-hydroxy-phenyl)propionate
663.109129	C21H26N7O14P2	Nicotinamide adenine dinucleotide
230.019158	C5H9O8P	Alpha-D-Ribose 1-phosphate
297.089562	C11H15N5O3S	5-Methylthioadenosine
483.079133	C17H17N5O10P	"(2,3-Dihydroxybenzoyl)adenylate"
949.282284	C33H54N7O17P3S	Dodecanoyl-CoA (n-C12:0CoA)
587.066596	C16H21N5O15P2	GDP-4-oxo-L-fucose
150.052825	C5H10O5	D-Ribulose
103.099714	C5H14NO	Choline C5H14NO
155.069477	C6H9N3O2	L-Histidine
119.058244	C4H9NO3	L-Homoserine
307.05694	C9H12N3O7P	DCMP C9H12N3O7P
347.063088	C10H12N5O7P	DGMP C10H12N5O7P
267.077661	C9H17NO6S	S-Ribosyl-L-homocysteine
145.110279	C7H15NO2	Gamma-butyrobetaine
218.105528	C12H14N2O2	N-Methyltryptophan
305.04129	C9H11N3O7P	"2',3'-Cyclic CMP"
78.013937	C2H6OS	Dimethyl sulfoxide
566.055029	C15H22N2O17P2	UDPglucose
3339.57506	C145H251N2O74P4	Inner core oligosaccharide lipid A (E coli)
309.985491	C5H8O11P2	"D-Ribose 1,5-bisphosphate"
161.105194	C7H15NO3	D-Carnitine
479.301192	C23H46NO7P1	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
150.052825	C5H10O5	D Arabinose C5H10O5
244.034808	C6H11O8P	2 Deoxy D glucose 6 phosphate C6H11O8P
2746.133914	C111H169N21O59	"Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)"
512.311423	C24H48O9P1	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
380.196393	C17H32O7P1	2-tetradec-7-enoyl-sn-glycerol 3-phosphate
139.977947	C2H2O5S	Sulfoacetate
176.03209	C6H7O6	4-Deoxy-L-threo-5-hexosulose uronate
384.12678	C14H24O12	Acetyl-maltose
867.131264	C25H36N7O19P3S	Malonyl-CoA methyl ester
410.243343	C19H37O7P1	1-hexadecanoyl-sn-glycerol 3-phosphate
662.415888	C34H62O10P1	"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)"
455.926267	C10H10N5O6PS2Cu	Molybdopterin
444.153268	C22H24N2O8	Tetracycline
108.057515	C7H8O	P-Cresol
1038.786403	C60H110O11P	Acyl phosphatidylglycerol (n-C18:1)
167.058244	C8H9NO3	Pyridoxal
328.079435	C14H13O9	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
427.029421	C10H12N5O10P2	ADP C10H12N5O10P2
134.021525	C4H4O5	L-Malate
60.032363	CH4N2O	Urea CH4N2O
179.079374	C6H14NO5	D-Glucosamine
78.013937	C2H6OS	Mercaptoethanol
354.057669	C9H13N4O9P	5-Amino-6-(5'-phosphoribosylamino)uracil
169.998028	C3H5O6P	Glyceraldehyde 3-phosphate
763.101677	C21H28N7O18P3	(S)-NADPHX
682.923335	C10H11N5O20P5	Guanosine 3'-diphosphate 5'-triphosphate
965.277199	C33H54N7O18P3S	(S)-3-Hydroxydodecanoyl-CoA
81.972467	O3S	Sulfite
149.051051	C5H11NO2S	L-Methionine
338.062754	C9H13N4O8P	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
196.058305	C6H11O7	D-Altronate
242.090273	C10H14N2O5	Thymidine C10H14N2O5
122.048013	C6H6N2O	Nicotinamide
339.04677	C9H11N3O9P	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
194.042655	C6H9O7	D-Fructuronate
222.052825	C11H8O5	O-Succinylbenzoate
74.000395	C2H1O3	Glyoxylate
711.432267	C34H64NO12P	"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate"
876.645553	C48H92O11P	Acyl phosphatidylglycerol (n-C14:0)
204.04226	C11H7O4	"1,4-Dihydroxy-2-naphthoate"
260.029723	C6H11O9P	1D-myo-Inositol 1-phosphate
115.063329	C5H9NO2	L-Proline
125.014666	C2H7NO3S	Taurine C2H7NO3S
1676.034055	C40H44N20O27P4S4W	Tungsten bispterin cofactor guanine dinucleotide
562.258006	C34H32N4O4	Protoporphyrin
136.074896	C6H10N4	"5,6,7,8-tetrahydropteridine"
196.058305	C6H11O7	D-Gluconate
151.04941	C5H5N5O	Guanine
295.05694	C8H12N3O7P	5-amino-1-(5-phospho-D-ribosyl)imidazole
276.024638	C6H10O10P	6-Phospho-D-gluconate
355.008291	C7H8N5O8P2	6-hydroxymethyl-dihydropterin pyrophosphate
566.055029	C15H22N2O17P2	UDPgalactose
267.143037	C9H18O6N3	"Fe(III)hydoxamate, unloaded"
364.042019	C10H11N4O9P	Xanthosine 5'-phosphate
168.089878	C8H13N2O2	Pyridoxamine
244.034808	C6H11O8P	L-Rhamnulose 1-phosphate
259.045707	C6H13NO8P	D-Glucosamine 6-phosphate
243.085522	C9H13N3O5	Cytidine
274.008988	C6H8O10P	D-Glucuronate 1-phosphate
123.032029	C6H4NO2	Nicotinate
196.058305	C6H11O7	D-Galactonate
971.157479	C32H39N7O20P3S	O-Succinylbenzoyl-CoA
90.031695	C3H5O3	3-Hydroxypropanoate
206.042655	C7H7O7	Methylisocitrate
406.271925	C24H37O5	"3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate"
90.031695	C3H6O3	Dihydroxyacetone
97.976898	HO4P	Phosphate
221.089939	C8H15NO6	N-Acetyl-D-mannosamine
290.122636	C10H17N4O6	N(omega)-(L-Arginino)succinate
59.037114	C2H6NO	Aminoacetaldehyde
103.063329	C4H9NO2	4-Aminobutanoate
226.04774	C10H8O6	Chorismate
989.489735	C48H72CoN11O8	Cobinamide
182.07904	C6H14O6	D-Mannitol
76.05243	C3H8O2	"(R)-Propane-1,2-diol"
427.029421	C10H12N5O10P2	DGDP C10H12N5O10P2
131.058244	C5H9NO3	L-Glutamate 1-semialdehyde
251.10184	C10H13N5O3	5'-Deoxyadenosine
390.175066	C15H25N4O8	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"
192.027005	C6H5O7	Citrate
131.094629	C6H13NO2	L-Leucine
2621.462789	C124H220N2O51P2	Heptosyl-heptosyl-kdo2-lipidA
910.209848	C28H46N8O18P3S	D-carnitinyl-CoA
728.57436	C49H76O4	Ubiquinol-8
89.047679	C3H7NO2	D-Alanine
1824.752421	C74H112N14O39	"Two disacharide linked murein units, pentapeptide corsslinked tripeptide (A2pm->A2pm) (middle of chain)"
451.269892	C21H42NO7P1	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
182.07904	C6H14O6	Galactitol
194.042655	C6H9O7	5-Dehydro-D-gluconate
1346.769844	C71H113N2O18P2	Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate
358.092991	C14H17N2O7P	"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
382.212043	C17H33O7P1	1-tetradecanoyl-sn-glycerol 3-phosphate
592.410408	C31H59O8P1	"1,2-ditetradecanoyl-sn-glycerol 3-phosphate"
893.420398	C40H67N3O15P2	"CDP-1,2-ditetradec-7-enoylglycerol"
692.068487	C20H30N6O12S2Se	Selenodiglutathione
217.142642	C9H20O3N3	Gamma-glutamyl-putrescine
121.019751	C3H7NO2S	L-Cysteine
266.090273	C12H12N2O5	4-aminobenzoyl-glutamate
117.042594	C4H7NO3	L-2-Amino-3-oxobutanoate
162.052825	C6H9O5	2-dehydro-3-deoxy-L-rhamnonate
735.505037	C38H73N1O10P1	"Phosphatidylserine (dihexadecanoyl, n-C16:0)"
276.106986	C9H16N4O6	4-(1-D-Ribitylamino)-5-aminouracil
887.136349	C28H36N7O18P3S	3-hydroxybenzoyl-CoA
610.384588	C30H58O10P1	"Phosphatidylglycerol (didodecanoyl, n-C12:0)"
423.238592	C19H38NO7P1	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
150.052825	C5H10O5	D-Xylulose
138.031695	C7H5O3	4-Hydroxybenzoate
398.137241	C15H23N6O5S	S-Adenosyl-L-methionine
864.306536	C42H41N4O16	Dihydrosirohydrochlorin
116.08373	C6H11O2	Hexanoate (n-C6:0)
215.019492	C4H8NO7P	O-Phospho-4-hydroxy-L-threonine
907.198949	C29H44N7O18P3S	3-Oxooctanoyl-CoA
187.168462	C9H23N3O	N8-Acetylspermidine
301.056272	C8H14NO9P	N-Acetyl-D-glucosamine 1-phosphate
176.03209	C6H8O6	L-Ascorbate
491.984855	C10H11N4O13P3	DITP(4-)
1017.457573	C43H75N3O20P2	"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
104.058578	C3H9N2O2	"2,3-diaminopropionate"
1122.304323	C38H56N8O27P2	"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine"
74.03678	C3H6O2	3-Hydroxypropanal
172.013678	C3H7O6P	Glycerol 2-phosphate
608.937427	C10H10N5O8PS2W	Tungsten binding cofactor
1005.718657	C61H99N1O8P1	Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose
180.06339	C6H12O6	D-Glucose
255.096755	C9H13N5O4	Dihydromonapterin
200.008593	C4H7O7P	D-Erythrose 4-phosphate
457.184902	C23H27N3O7	Minocycline
260.029723	C6H11O9P	D-Mannose 1-phosphate
1059.090145	C26H40N7O26P5S	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA
244.025292	C6H11O8S	Sulphoquinovose
323.991625	C6H10O11PS	6-deoxy-6-sulphofructose 1-phosphate
204.089878	C11H12N2O2	L-Tryptophan
147.053159	C5H9NO4	O-Acetyl-L-serine
176.058578	C9H8N2O2	Phenylhydantoin
589.082246	C16H23N5O15P2	ADPglucose C16H23N5O15P2
388.007289	C9H11N2O11P2	DUDP C9H11N2O11P2
240.06339	C11H10O6	"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
299.077007	C9H15NO8P	D-4'-Phosphopantothenate
214.024243	C5H9O7P	1-deoxy-D-xylulose 5-phosphate
154.02661	C7H5O4	"2,3-Dihydroxybenzoate"
277.995661	C5H10O9P2	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
506.995754	C10H12N5O13P3	ATP C10H12N5O13P3
150.052825	C5H10O5	L-Ribulose
164.068475	C6H12O5	L-fuculose
